,Sentence,metaphore,target_domain,source_domain,highlighted_aspect,PartOf,Causes,IsA,DefinedAs
199,Understanding the drama of democracy: looking back at the 7th international conference in Interpretive Policy Analysis,drama,Democracy,Story,Topic,"[' understand the drama of democracy', ' understanding of democracy', ' understanding of politics']","[' understanding of democracy', ' understanding of politics', ' understanding of political system']","[' understanding of democracy', ' understanding of politics', ' understanding democracy']","[' understanding of democracy', ' understanding of politics', ' understanding politics']"
200,"When you go to the other first-world democracies, you find out that they are quite free...and you find out that no, firearms don't secure a person's freedom.",secure,Guns,Protection,Protection,"[' none', ' get arrested', ' get shot at']","[' free', ' freedom', ' peaceful']","[' people to be free', ' freedom of speech', ' freedom']","[' freedom of speech', ' none', ' get arrested']"
201,"And if there is to be no top armament level, can your guns compete with a howitzer?",compete,Guns,Competition,Conflict,"[' none', ' get shot at', ' have to defend themselves']","[' determined', ' powerful', ' defensive']","[' they are not able to compete with a howitzer', ' they are not able to compete with the howitzer', ' they are not able to compete with a howitzer.']","[' none', ' gunpowder', ' gunner']"
202,"Democracy won, and bureaucracy lost, said Nevadans for Sound Government attorney Joel Hansen, who praised the judge's ruling as historic for Nevada.",lost,Bureaucracy,Game,Loser,"[' win the case', ' win or lose', ' none']","[' victorious', ' successful', ' happy']","[' victorious', ' happy', ' good']","[' win the case', ' win or lose', ' win the election']"
203,"With the decision, CT advocates have dodged a bullet that many feared could have killed the promising new field of cardiac imaging with CT. (AuntMinnie.com)",killed,Guns,Physical Harm/War,Threat,"[' have a better understanding of what is going on', ' have a better understanding of what is going on in the body', ' have a better understanding of what is going on in their body']","[' careful', ' scared', ' happy']","[' happy', ' good news', ' good']","[' have a better understanding of what is going on', ' have a better understanding of what is going on in the body', ' have a better understanding of what is going on in their body']"
204,"A quick glance at George W. Bush's governing style during his first term reveals that whenever he reaches out to congressional Democrats, the result has been legislation that maims taxpayers and divides the Republican party down the middle.",maims,Taxpayers,Physical Harm,Victim,"[' none', ' get a new job', ' get a new president']","[' a bully', ' a politician', ' powerful']","[' a bad reputation', ' a sense of responsibility', ' a sense of power']","[' get a lot of votes', ' get a lot of money', ' get a lot of attention']"
205,"If you put 10% down and finance the rest at an 8% interest on top of that, your wealth will melt at a rate of 17.2% per year (10% depreciation + 8% interest on 90% of the purchase price).",melt,Wealth,Body of Water/Energy,Resource,"[' buy a new house', ' lose money', ' buy a new car']","[' buy a new house', ' buy a new car', ' buy a house']","[' buy a new house', ' buy a new car', ' buy a house']","[' buy a new car', ' buy a new house', ' buy a house']"
206,"That is, until some racist nimrod spits into the great pool of democracy and spoils our good time.",pool,Democracy,Body of Water,Body of Water,"[' none', ' get arrested', ' people get angry']","[' angry', ' that he is a racist', ' that he is a racist.']","[' that we have a chance to change the world', ' that we have a chance to change the world.', ' that we have a chance to change things']","[' none', "" that's what they do"", "" that's what they want""]"
207,"In response, Harold W. ""Budd"" Schroeder, a longtime gun rights advocate from Lancaster, sent out an email identifying the bill as ""the rape of gun rights.""",rape,Gun Rights,Crime,Victim,"[' have to defend themselves', ' have to defend their rights', ' have to pay for the bill']","[' gun control', ' angry', ' gun owner']","[' have to defend themselves', ' have to defend their rights', ' have to pay for it']","[' gun rights advocate', ' gun rights', ' gun rights group']"
208,This is a long way from the understanding of politics that used to dominate Chinese leaders' thinking â€“ the belief that wealth heals all wounds; that the Party could afford to ignore all criticism as long as it could provide prosperity.,heals,Wealth,Medicine,Protection,"[' none', ' to ignore all criticism', ' to ignore all criticism.']","[' this is not the same as the old way of thinking', ' this is not the same as the old way of thinking.', ' this is not the same as the old way of doing things.']","[' none', ' get rich', ' to ignore criticism']","[' none', ' get rich', ' to ignore criticism']"
209,"More than 90 percent of the guns recovered in Mexico come from the United States, Obama claimed last week, repeating a favorite factoid of politicians who believe American gun rights endanger our southern neighbor's security.",endanger,Gun Rights,Physical Harm,Threat,"[' more guns in Mexico than in the United States', ' more guns in Mexico than in the United States.', ' more guns in the country']","[' more guns in Mexico than in the United States', ' more guns in Mexico than in the U.S.', ' more guns in Mexico than in the U.S']","[' more guns in Mexico than in the United States', ' more guns', ' more guns in Mexico than in the United States.']","[' more guns in Mexico than in the United States', ' more guns in Mexico than in the United States.', ' more guns in Mexico than in the US']"
210,"As the GOP stands tall as the guardian of taxation for the nation's wealthy and guardian for corporate America, the party sacrifices programs that in the long run will help to make America strong and less dependent globally.",guardian,Taxation,Protection,Threatened,"[' get rich', ' get a raise', ' none']","[' as the leader of the party', ' as the leader of the country', ' as the leader of the nation']","[' as the leader of the party', ' as the leader of the country', ' as the leader of the nation']","[' as the leader of the party', ' as the leader of the country', ' as the leader of the party.']"
211,"The lawsuit, filed in the Circuit Court of Cole County, charges that an anti-affirmative action ballot initiative proposed by Tim Asher and his Missouri Civil Rights Initiative should not be circulated for signatures because it violates the Missouri Constitution by seeking to trick and defraud Missouri voters in attempting to ban an array of equal opportunity programs.",defraud,Elections,Theft,Victim,"[' the initiative to be illegal', ' the initiative to be banned', ' the ballot initiative to be banned']","[' the initiative to be illegal', ' the initiative to be banned', ' the ballot initiative to be banned']","[' the initiative to be illegal', ' the initiative to be banned', ' the ballot initiative to be banned']","[' the initiative to be illegal', ' the ballot initiative to be banned', ' the ballot initiative to be illegal']"
